LEXEM,FREQ
apel,1847
cpc,1844
trata-s,1835
abril,1835
anteri,1832
ness,1823
apen,1822
autor,1816
serviç,1795
conced,1789
tend,1785
sepúlved,1783
conform,1756
ausent,1747
natur,1732
caput,1725
hav,1718
adquir,1718
disposi,1717
trat,1714
vell,1704
reg,1703
brasil,1698
indiret,1682
mor,1670
paul,1664
objet,1652
justificad,1652
prev,1645
municípi,1636
improv,1617
concess,1613
folh,1608
reclam,1607
sid,1605
firm,1586
fund,1584
extraordinário.,1548
requisit,1538
admit,1533
dia,1532
porqu,1524
dispost,1524
sentenç,1522
cumpr,1520
fim,1515
manifest,1511
situ,1509
grau,1504
auréli,1496
fix,1494
impost,1493
dad,1487
defer,1484
exig,1469
ter,1468
decret,1457
constitucional,1452
graci,1451
ellen,1447
ndash,1436
carát,1421
integr,1415
fac,1415
defês,1414
tem,1406
decisã,1401
portant,1399
vez,1398
uni,1397
assent,1391
regim,1390
decorr,1386
afast,1379
inform,1374
garant,1367
feit,1365
prequestion,1362
ativ,1362
decreto-l,1347
minist,1342
indefer,1333
cert,1332
despach,1331
mesm,1329
inic,1326
contribu,1316
soment,1305
tribut,1304
sustent,1303
via,1298
únic,1295
express,1294
unânime.,1289
reflex,1284
possibil,1281
dat,1277
inter,1270
acórdã,1270
institu,1267
inc,1258
final,1258
unânim,1254
ano,1248
mend,1246
mult,1245
paci,1242
gilm,1242
contrat,1235
própri,1234
impossibil,1234
rio,1226
sistem,1222
pen,1220
nacion,1220
previst,1216
controvérs,1211
aplicaçã,1202
receb,1200
execuç,1192
empr,1188
juiz,1179
parec,1175
desd,1175
pressupost,1171
reexam,1170
ristf,1169
hc,1167
regr,1161
espéci,1158
cálcul,1154
interpret,1148
mod,1147
real,1145
autoridad,1143
fever,1127
public,1123
sed,1122
exercíci,1109
red,1108
per,1107
març,1106
medi,1103
órg,1100
relaç,1093
extraordinário.,1093
ent,1093
carg,1088
text,1081
mer,1077
crédit,1075
event,1074
post,1071
mei,1070
xxxv,1067
acolh,1065
respeit,1059
in,1058
fiscal,1057
âmbit,1043
apresent,1042
legitim,1040
pelus,1039
adi,1035
alíne,1031
cez,1029
admissibil,1029
própr,1028
quo,1027
jan,1022
local,1016
falt,1015
divers,1015
conseqü,1004
provisór,1002
pet,1001
intervenç,1000
parágraf,998
const,997
pretens,992
anális,990
alv,990
represent,988
milit,986
peç,985
ero,985
afirm,985
após,984
preceit,981
mérit,981
demonstr,978
jurisdic,977
parc,975
adct,972
jurisprudênc,964
eficác,964
pass,962
barb,961
grif,960
adem,958
realiz,955
result,949
fic,948
temp,942
maior,939
financ,938
mencion,936
suscit,925
prejudic,920
formul,920
joaquim,919
extr,919
jur,917
orient,916
cit,915
region,914
municip,912
extraordinÁri,911
pretend,909
aus,908
diz,907
utiliz,906
intern,906
conden,902
suprem,901
república.,899
plan,899
imediat,887
emend,886
plenári,884
precatóri,882
pont,877
pesso,874
p,872
import,870
respec,868
ilm,868
tax,863
mauríci,863
emin,859
polít,858
obje,857
vantag,856
vincul,851
deu,851
control,847
pris,845
nÃ,845
adot,836
magn,830
desprov,829
faz,828
argument,828
mant,826
configur,826
critéri,824
corrê,824
particip,822
extraordinÁrio.,822
aposentad,822
v,819
qual,819
examin,819
repercuss,818
torn,815
britt,814
alter,813
judici,812
concurs,809
conclus,807
vig,802
postul,801
inst,799
atual,793
imped,791
icm,791
galv,789
atribu,789
invoc,786
element,786
sujeit,784
além,784
alíquot,780
inadmissibil,779
emb,776
parcel,771
remuner,768
motiv,766
nelson,762
cond,760
questã,753
dezembr,752
inscrit,751
grav,751
c.f,748
vi,747
r.e,745
depend,744
pertin,743
títul,741
junh,739
requ,738
nel,738
ms,738
provent,733
assist,728
mater,726
rest,725
cois,723
],723
te,720
afront,720
defin,719
respons,717
unanim,716
correç,712
[,711
registr,710
prelimin,710
circunst,708
nulidad,707
concret,707
silv,705
benefici,704
tutel,703
merec,703
jobim,702
empreg,702
par,701
autoriz,701
conclu,699
formal,698
funç,697
correspond,695
edit,692
entidad,689
daquel,687
deix,682
urp,681
posteri,681
ordinár,680
ei,680
inexist,678
grand,672
ger,672
encontr,671
dispõ,671
fazend,670
document,668
atend,667
revel,665
pessoal,665
di,664
ix,663
antecip,663
últ,662
deduz,661
v.g,660
tes,658
m,658
ref,657
disciplin,657
específ,655
lv,652
diverg,651
lad,649
les,643
ved,640
trasl,640
nega,640
segur,639
priv,639
monetár,639
indic,639
possível,638
cármen,638
mes,628
acord,628
transit,625
inadmit,623
dan,621
favor,620
vers,619
perd,619
demal,617
apont,616
procurador-ger,615
destin,614
ampl,614
revog,613
continu,612
demand,611
monocrá,609
idênt,607
forç,605
conheç,604
constituiÇÃ,603
oportun,600
isonom,599
contribuint,599
cobranç,597
curs,595
rend,590
permit,590
justific,588
dentr,586
procur,585
ajuiz,585
dispos,584
igual,582
contraditóri,582
regul,581
atac,581
judiciár,580
set,578
ec,578
assegur,578
trânsit,577
outubr,577
interess,577
conflit,577
vii,575
sufici,575
port,575
índic,574
verific,572
execu,571
advog,568
obrig,567
distrit,567
magistr,566
deneg,564
dar,564
prejuíz,563
junt,563
improced,561
total,560
deput,560
relev,559
defini,559
À,556
lúc,556
inclusiv,556
acess,554
ensej,552
doi,552
homolog,551
propost,550
log,550
setembr,548
cóp,548
verb,547
cláusul,546
estrit,545
prát,543
abus,543
it,542
discut,542
bast,539
períod,538
interpos,538
essenc,537
rejeit,533
opin,533
moment,533
câm,533
reserv,532
procuradoria-ger,532
percent,532
envolv,532
possu,531
exerc,531
sul,530
agost,530
var,529
necessár,529
suspend,527
relaçã,526
comum,525
exped,524
ausênc,523
fal,522
instaur,520
imóvel,519
produt,518
efet,518
me,516
tom,515
liberdad,515
descumpr,514
salári,513
diferenç,513
tant,509
quadr,509
síntes,508
ricard,507
acerc,507
atu,505
institut,504
mín,503
vis,501
polic,500
efetiv,500
açõ,500
econôm,499
parlament,497
ressalt,496
inquérit,496
luz,495
excepc,495
referend,494
constituição.,494
cad,494
reform,493
apur,492
tributár,491
ressalv,491
preven,491
lewandowsk,491
devoluç,491
adic,491
poss,490
tempest,489
imun,489
inconstituc,488
débit,486
diplom,486
consum,484
orden,482
concern,481
incidênc,480
cent,480
comprov,479
progress,477
opost,477
dou,476
periculum,472
govern,472
substitu,470
descab,470
r,469
vigent,468
novembr,468
outorg,464
daí,464
ordin,462
coa,462
sess,461
estrang,460
oper,459
submet,458
pratic,455
nér,455
inici,455
aqu,454
simpl,452
destac,451
veicul,449
secret,449
plausibil,449
entant,449
dje,447
sÚmul,446
econom,445
c/c,444
sant,443
recolh,443
supost,441
previdenci,441
contribuiçã,440
mandat,439
corrig,439
discuss,438
corret,437
invi,436
ilustr,435
f,435
extraordinár,433
ambas,433
passiv,432
acim,432
enquant,431
pens,430
cri,429
prévi,428
inferi,428
remess,427
lsqu,426
confer,424
fgt,422
evid,422
estatal,422
sempr,421
porquant,421
legislaçã,421
indefir,421
writ,419
l,419
ausÊnc,419
eman,418
analis,418
question,417
aprov,416
indev,415
ônu,414
ofend,413
desrespeit,413
intim,412
si,410
rsqu,410
inclu,410
d,410
traz,409
inat,409
exclus,409
delit,408
obst,407
funcion,407
§§,406
cust,406
depósit,405
público.,404
menos,404
decisóri,404
sanch,403
declaraçã,403
independ,402
conjunt,402
stj,401
cuid,400
retro,399
nad,399
mort,399
sydney,398
indispens,397
associ,397
áre,396
omiss,396
mens,396
inviabil,396
denúnc,395
propriedad,394
preserv,394
originár,394
mercad,394
devid,394
cole,394
aument,394
inden,393
paragraf,392
mê,392
comiss,392
alud,392
acus,392
previd,390
pleite,390
esclarec,390
distribu,390
adequ,389
absolut,389
salar,388
tet,387
posi,387
iptu,386
adin,386
risc,385
ins,385
sim,384
saúd,384
ofíci,382
josé,382
extens,382
trint,380
diss,380
algum,380
lucr,377
alegaçã,377
unidad,375
tid,375
solicit,375
debat,375
confirm,374
sofr,373
qu,373
tributário.,372
superveni,372
subje,372
revis,372
consubstanci,372
modific,371
xi,369
implic,369
etc,369
membr,368
rcl,367
permiss,367
ileg,367
dju,367
futur,365
ver,363
sociedad,362
linh,362
toc,361
decisÃ,361
custei,361
cinc,361
busc,361
matÉr,359
lev,359
investig,359
agent,359
enquadr,358
contribuiÇÃ,358
réu,357
pronunc,356
ed,356
infund,355
conso,355
receit,354
impõe-s,354
cf/88,354
nenhum,353
razõ,351
prescr,351
óbic,350
segurança.,350
resoluç,350
gratific,350
liv,349
relatóri,348
ofic,348
iníci,348
gallott,347
doutrin,347
relativ,346
perceb,345
regulament,344
ediç,343
comport,343
protocol,342
propósit,342
individ,342
compens,342
cofim,342
políci,341
viabil,340
conteúd,339
ambos,339
estend,338
pleit,337
produz,336
cl,336
alcanc,336
validad,335
prerrog,335
not,334
competênc,334
entretant,333
virtud,332
banc,332
aspect,332
afer,332
abrang,332
honor,331
exclusiv,331
entr,331
eleitor,331
jurisd,330
violaçã,329
arquiv,329
arest,329
impõ,328
aurélio.,328
ocas,327
exclu,326
auton,326
sen,325
prossegu,325
infring,325
alcanç,325
previdenciÁrio.,323
cível,323
abstrat,323
deliber,322
rt,321
todav,319
interpretaçã,319
caracter,319
vervel,318
consagr,318
acÓrdÃ,318
mont,317
sab,316
incorpor,316
estatut,316
rural,315
contrariedad,315
origin,313
lid,313
pacíf,312
interposiçã,312
conceit,312
comarc,311
promov,310
perfeit,309
argü,309
aliment,309
magist,308
pend,307
sucess,306
apreciaçã,306
advent,306
nom,305
agrg,305
dispens,304
defir,304
contrari,304
princip,303
preç,303
condut,303
promulg,302
salari,300
previdenciár,300
dr,300
convert,300
reiter,299
pension,299
revist,298
manutenç,298
denunci,298
autarqu,298
rre,296
promulgaçã,296
naquel,296
anul,296
mp,295
candidat,295
incompet,294
impl,294
cuida-s,294
seç,293
equival,293
encaminh,293
cheg,293
particul,292
ayr,292
ag,292
trê,290
profiss,290
int,290
declaratóri,290
autonom,290
têm,288
iner,288
esf,288
dirig,288
conselh,288
calcul,288
desp,287
númer,286
major,286
extinç,286
abert,286
vem,285
proclam,285
ex,285
dem,285
convers,285
advert,285
moral,284
justiça.,284
camp,284
avuls,284
impos,283
prestaçã,282
ond,282
lavr,282
aÇÃ,282
man,281
previs,280
precis,280
líqu,280
legít,280
inclus,280
sr,279
sobrest,279
just,279
verif,278
resolv,278
ilegitim,278
aduz,278
popul,275
ri/stf,274
imposiçã,274
correçã,274
efetu,273
carr,273
mandament,272
coment,272
máx,271
incident,271
frent,271
inadmiss,270
dua,270
verdad,269
ocup,269
mist,269
terc,268
reduç,268
tem-s,267
menez,267
func,267
vei,266
prév,266
ilegal,266
contud,266
finsoc,265
porém,264
alega-s,264
uniform,263
concessã,263
anex,263
incab,262
admiss,262
provid,261
prevalec,261
julh,261
reconsider,260
contrár,260
sistemá,259
mil,259
inaplic,259
desenvolv,259
consist,259
colegi,259
aposent,259
agr,259
tributÁrio.,258
enfa,258
pernambuc,257
men,257
viabiliz,256
pi,256
divórci,256
traduz,255
oferec,255
letr,255
quebr,253
ingress,253
subsídi,252
ss,252
limp,252
bom,252
config,251
chef,251
irredutibil,250
existênc,250
vol,249
reduz,249
qualific,249
assinal,249
pública.,248
presenç,248
obt,248
fumu,248
mat,247
fas,247
caracteriz,247
urban,246
tempor,245
sindic,245
incumb,245
ipi,244
consign,244
bon,244
recent,243
font,242
evidenc,242
concorr,242
alegaÇÃ,242
técn,241
suport,241
sigil,241
context,241
cham,241
congress,240
revisã,239
preench,239
orientaçã,239
enunci,239
após,239
É,238
titul,238
recus,238
denomin,238
ating,238
x,237
salient,237
lc,237
implement,237
retorn,236
remuneraçã,236
previdenc,236
litigânc,236
imput,236
encerr,236
mim,235
dur,235
cidad,235
sub,234
soluç,234
premiss,234
octavi,234
dúv,234
acompanh,234
relacion,233
promoç,232
cass,232
inexistênc,231
patrimôni,229
hor,229
escrit,229
declaraÇÃ,229
consolid,229
if,228
extint,228
ad,228
tratando-s,227
rescisór,227
coefici,227
colet,226
prosper,225
dl,225
respectiv,224
pretensã,224
int.,224
encontra-s,224
assemblé,224
pud,223
mold,223
instruç,223
constituição.,223
àquel,222
princÍpi,221
desembarg,221
xii,220
vál,219
quaisqu,219
inadmissí,219
cogit,219
categor,219
apens,218
afet,218
permanec,217
falec,217
orçamentár,216
colend,216
análog,216
prolat,215
diári,215
difer,215
atras,214
aplicaÇÃ,214
aliás,214
vigênc,213
tão-s,213
signific,213
rev,213
semelh,212
compreend,212
verifica-s,211
revela-s,211
resid,211
estados-membr,211
torna-s,210
requis,210
intime-se.,210
desapropri,210
tramit,209
melhor,209
interpô,209
fátic,209
figur,209
fech,209
dilig,209
constrang,209
comunic,209
sindicat,208
publicaçã,208
inviabiliz,208
equipar,208
volt,207
excess,207
especific,207
corr,207
notad,206
matéria.,206
exempl,206
apoi,206
acentu,206
turn,205
plenár,205
liquid,205
err,205
índol,204
sequ,204
contest,204
flagr,203
firmou-s,203
confund,203
base,203
subprocurador-ger,202
sentença.,202
restrit,202
remet,202
isenç,202
não-conhec,201
guard,201
capaz,200
uso,199
separ,199
organiz,199
obrigatór,199
marg,199
instituc,199
ac,199
veícul,198
vag,198
sald,198
pÚbl,198
ju,198
époc,197
univers,197
dout,197
apes,197
urg,196
sara,196
filh,196
básic,196
ajust,196
vulner,195
salv,195
atent,195
sum,194
restr,194
explicit,194
cc,194
prefeit,193
formaçã,193
condenatór,193
víci,192
usurp,192
redu,192
perig,192
dá,192
dit,192
disposiçõ,192
diferenci,192
?,192
verd,191
territóri,191
satisf,191
razã,191
fatur,191
contenci,191
constat,191
condicion,191
sucumb,190
period,190
mostr,190
fornec,190
cÓdig,190
culp,190
cpp,190
seil,189
livr,189
exceç,189
exat,189
disp,189
perspec,188
nome,188
dirim,188
deleg,188
agor,188
tud,187
situaçã,187
remuneratóri,187
soberan,186
objetiv,186
serviÇ,185
projet,185
jorn,185
vid,184
leit,184
introduz,184
inscr,184
ediçã,184
exced,183
eg,183
juril,182
fez,182
cobr,182
suspensÃ,181
proposit,181
permanent,181
pensã,181
parâmetr,181
lix,181
diretriz,181
descont,181
ação.,181
provoc,180
transfer,179
signif,179
clt,179
centr,179
vir,178
super,178
relatório.,178
proteç,178
program,178
ja,178
cumul,178
aquis,178
alus,178
vislumbr,177
surg,177
plenÁri,177
inocorr,177
estado-membr,177
restitu,176
questõ,176
quatr,176
prisã,176
estabil,176
confront,176
competÊnc,176
assum,176
ampar,176
acarret,176
front,175
catarin,175
ach,175
convêni,174
conson,174
conduz,174
cess,174
paut,173
jurÍd,173
gross,173
classific,173
ambient,173
milhã,172
auto-aplic,172
através,172
transitór,171
seqüestr,171
senã,171
s.t.f,171
público.,171
long,171
explícit,171
evit,171
anterior,171
venh,170
tampouc,170
pressupõ,170
prescric,170
inobserv,170
dív,170
coll,170
respond,169
defici,169
xv,168
uniã,168
dez,168
autôn,168
atualizaçã,168
desnecess,167
d.j,167
antôni,167
vint,166
vend,166
tcu,166
industri,166
domicili,166
..,166
vice-presid,165
pronunci,165
procurad,165
identific,165
desempenh,165
complet,165
inviá,164
fazê-l,164
design,164
correÇÃ,164
pÚblico.,163
defen,163
credit,163
violaÇÃ,162
igualdad,162
hierarqu,162
extrem,162
comunique-s,162
asseg,162
acid,162
orç,161
mantev,161
hoj,161
hedi,161
compromet,161
transport,160
publ,160
defend,160
decisão.,160
cred,160
clar,160
advocatíci,160
testemunh,159
territor,159
rm,159
probatóri,159
petiçã,159
exteri,159
declin,159
tip,157
repercussã,157
genér,157
francisc,157
arrecad,157
satisfeit,156
país,156
ocorrênc,156
nunc,156
gerald,156
excels,156
dand,156
assev,156
remanesc,155
má-fé.,155
mar,155
zer,154
sold,154
restabelec,154
insum,154
infr,154
for,154
contra-r,154
ampli,154
j,153
certidã,153
rep,152
referenc,152
redaçã,152
percepç,152
lanç,152
idad,152
anote-s,152
revest,151
proib,151
lug,151
emit,151
reda,150
profes,150
possível,150
nort,150
inex,150
cerce,150
xiv,149
união.,149
republic,149
proporc,149
anual,149
restring,148
reput,148
repet,148
insuscet,148
repar,147
oriund,147
juridic,147
ilícit,147
entorpec,147
cf/88.,147
caix,147
benefÍci,147
aplica-s,147
lúcia.,146
insufici,146
expeça-s,146
moratóri,145
justiÇ,145
contempl,145
anteced,145
adoç,145
telefôn,144
prestaçõ,144
nível,144
destart,144
deriv,144
ciênc,144
paran,143
entreg,143
col,143
anot,143
transgress,142
suprim,142
nega-s,142
mov,142
licenç,142
insurg,142
estrut,142
energ,142
divis,142
ctn,142
celebr,142
pequen,141
luiz,141
ipc,141
incr,141
típic,140
reafirm,140
monet,140
internac,140
imposs,140
aproveit,140
alç,140
saíd,139
s,139
reclamação.,139
esgot,139
deposit,139
vari,138
presunç,138
s/a,137
recorribil,137
logradour,137
fer,137
extern,137
eficac,137
aquisi,137
tão,136
qualifica-s,136
proporcional,136
obr,136
nul,136
ns,136
irresign,136
insalubr,136
indici,136
incompat,136
excel,136
compõ,136
capac,136
trech,135
interpõ,135
inequívoc,135
compos,135
ré,134
rogatór,134
robert,134
novent,134
manifestou-s,134
ltd,134
lig,134
justif,134
elabor,134
distint,134
vítim,133
subscrit,133
notific,133
médic,133
extraordinária.,133
ensin,133
Únic,132
vontad,132
transcrit,132
modal,132
imprens,132
harmon,132
educ,132
desist,132
avali,132
arm,132
ama,132
imprescind,131
ventil,130
unic,130
suspensã,130
remuneratór,130
oit,130
declaratór,130
arc,130
alt,130
subsist,129
rol,129
referendum,129
iuril,129
incomplet,129
evidenci,129
difus,129
cooper,129
ângul,128
substabelec,128
sinte,128
re,128
obscur,128
mostra-s,128
isent,128
impend,128
gradu,128
dra,128
concentr,128
arbitr,128
apt,128
aguard,128
abr,128
observânc,127
joã,127
interrogatóri,127
human,127
extensã,127
comet,127
vê-s,126
urv,126
quot,126
produç,126
invers,126
compensatóri,126
brind,126
assin,126
ameaç,126
admissã,126
verificaçã,125
ultrapass,125
regular,125
pr,125
circul,125
provis,124
pos,124
habeas-corpu,124
extraordinária.,124
dou-lh,124
víncul,123
sustenta-s,123
previdenciari,123
intempes,123
instânc,123
inpc,123
emprest,123
constituiÇÃo.,123
conf,123
vê,122
tributária.,122
suced,122
simil,122
previdênc,122
pgr,122
múltipl,122
má,122
glob,122
fixaçã,122
faculdad,122
excepcional,122
contracautel,122
ambi,122
toffol,121
revisÃ,121
matéria.,121
inativ,121
cruz,121
coloc,121
acab,121
punibil,120
mecan,120
levant,120
incidÊnc,120
gratuit,120
elev,120
complex,120
articul,120
souz,119
presum,119
magistrat,119
limitou-s,119
irregular,119
invest,119
intempest,119
extrad,119
exigênc,119
domíni,119
cumulativ,119
constituint,119
and,119
advocac,119
subseqü,118
multiplic,118
investid,118
inq,118
existÊnc,118
especi,118
com,118
acresc,118
proteg,117
pecuniár,117
observando-s,117
eletrôn,117
conex,117
ce,117
atin,117
sort,116
rib,116
ret,116
ressalte-s,116
peric,116
notíc,116
litisconsort,116
invalid,116
inadimple,116
adoçã,116
verbet,115
pacific,115
indispensá,115
dot,115
circunstânc,115
restri,114
medic,114
irretroat,114
insurge-s,114
ganh,114
expurg,114
definitiv,114
co-réu,114
tempes,113
plenário.,113
palavr,113
narr,113
inomin,113
honorár,113
execut,113
equivalenc,113
domin,113
desloc,113
decad,113
crimin,113
alteraçõ,113
rondôn,112
retir,112
reintegr,112
questão.,112
publiqu,112
p/,112
invert,112
infirm,112
dupl,112
d.l,112
seguranÇ,111
preclus,111
funcionÁri,111
forens,111
ferr,111
substanc,110
puni,110
legislaÇÃ,110
instru,110
indíci,110
emprést,110
emerg,110
competência.,110
autu,110
>,110
tratar-s,109
dol,109
dinh,109
convenc,109
condenaçã,109
suscet,108
solt,108
renov,108
proveni,108
previdenciário.,108
previdenciário.,108
nasc,108
moed,108
list,108
lesiv,108
juÍz,108
grup,108
fort,108
expressã,108
dig,108
conserv,108
concessÃ,108
aperfeiço,108
tráf,107
reproduz,107
liber,107
envi,107
condic,107
brut,107
agrag,107
aceit,107
san,106
retrat,106
predomin,106
mdash,106
inconform,106
ibam,106
elétr,106
egrégi,106
delib,106
confira-s,106
<,106
situaçõ,105
repel,105
ministéri,105
malfer,105
irradiando-s,105
fático-probatóri,105
execuçã,105
estranh,105
avo,105
adct/88,105
us,104
suplement,104
opç,104
oliv,104
merc,104
ident,104
desconstitu,104
teor,103
razoá,103
paradigm,103
luci,103
impertin,103
exsurg,103
estipul,103
costum,103
carec,103
cancel,103
c.pr.civ,103
agrár,103
acrescent,103
sÃ,102
sucumbência.,102
resp,102
públicos.,102
problem,102
prestaÇÃ,102
pensÃ,102
inocorrênc,102
faç,102
exequatur,102
exaç,102
discussã,102
cp,102
conversã,102
casu,102
assemelh,102
singul,101
respost,101
intangibil,101
inexistÊnc,101
inadequ,101
físic,101
e/ou,101
cpi,101
cost,101
conveni,101
comerc,101
cinqüent,101
transcrev,100
supress,100
som,100
réu,100
omissã,100
intelig,100
incompatibil,100
explor,100
eleit,100
agir,100
transform,99
espaç,99
c.p.c,99
baliz,99
antig,99
americ,99
acautel,99
ulteri,98
prisÃ,98
jurídica.,98
irrepar,98
enfoqu,98
disponibil,98
dign,98
destinat,98
convenç,98
abon,98
vigência.,97
resum,97
questÃ,97
previdenciári,97
labor,97
indevid,97
devolv,97
defens,97
decretos-lel,97
audi,97
velh,96
toler,96
tel,96
quantum,96
possibilit,96
padr,96
insert,96
exaur,96
dê-s,96
dimens,96
constanc,96
tst,95
prescrev,95
numer,95
incidenc,95
exigibil,95
derr,95
colh,95
trf,94
região.,94
prof,94
previdenciÁri,94
prescind,94
ponder,94
obrigatóri,94
morm,94
isençã,94
inobservânc,94
cabíveis.,94
apreç,94
acrésc,94
tent,93
litígi,93
judiciário.,93
hoff,93
fumaç,93
cotej,93
tipic,92
rog,92
recepcion,92
razoabil,92
monetária.,92
simples,91
renúnc,91
ratific,91
pact,91
ocorrÊnc,91
obrigaçã,91
model,91
laud,91
enfrent,91
dissídi,91
diari,91
df,91
democrá,91
cadernet,91
autárqu,91
trâmit,90
subtet,90
sanç,90
reflet,90
observanc,90
inser,90
discute-s,90
difícil,90
de,90
cr,90
companh,90
cobert,90
aí,90
aprofund,90
ali,90
simultane,89
sessã,89
reveste-s,89
reexamin,89
honr,89
gui,89
far,89
famíl,89
encarg,89
dicçã,89
der,89
consid,89
compulsór,89
cadastr,89
baix,89
acumul,89
voss,88
transmiss,88
terr,88
revez,88
retenç,88
ressarc,88
refere-s,88
recomend,88
quint,88
piauí,88
ordinária.,88
opos,88
obstácul,88
jurídico-constituc,88
intuit,88
enfatiz,88
deline,88
criminil,88
controvÉrs,88
certam,88
brossard,88
vári,87
sust,87
peculiar,87
necessit,87
minister,87
licenc,87
fundamentaçã,87
facult,87
cônjug,87
custód,87
bress,87
auto-aplicabilidade.,87
altern,87
alegaçõ,87
aco,87
rescindend,86
recíproc,86
prop,86
pretext,86
mutatil,86
mandamu,86
expedi,86
equilíbri,86
compreens,86
autentic,86
atÉ,86
assunt,86
arquivem-s,86
sobretud,85
rodrig,85
rit,85
pred,85
períc,85
habilit,85
escolh,85
criv,85
capit,85
acion,85
vere,84
quadrilh,84
públicas.,84
prevenç,84
orgân,84
of,84
jog,84
ininterrupt,84
idône,84
exeges,84
contém,84
construç,84
considerando-s,84
anist,84
adit,84
abord,84
tipific,83
tabel,83
sinal,83
reun,83
relevânc,83
propr,83
político-administr,83
obedec,83
méd,83
mutandil,83
judiciári,83
inadimpl,83
exoner,83
erári,83
denegatór,83
consequ,83
concessionár,83
comérci,83
aparent,83
solicitem-s,82
retroat,82
pretóri,82
ostent,82
is,82
invocaçã,82
funçã,82
fili,82
exm,82
evoc,82
distinç,82
depo,82
controvers,82
condu,82
conclusã,82
combin,82
brev,82
u.r.p,81
rezek,81
intervençã,81
inafast,81
fisc,81
doc,81
comput,81
autônom,81
assever,81
apresentaçã,81
apres,81
além,81
supõ,80
reforç,80
papel,80
insculp,80
imp,80
prepar,79
prefer,79
má,79
goz,79
flu,79
expend,79
dire,79
decl,79
correi,79
bel,79
barr,79
agênc,79
sumul,78
sessent,78
reposiçã,78
reconheç,78
precatório.,78
poli,78
persecuç,78
ninguém,78
má-fé,78
mudanç,78
maranh,78
logr,78
gonçalv,78
execução.,78
empreend,78
drog,78
desvi,78
def,78
carÁt,78
apreens,78
ajusta-s,78
variaçã,77
remédi,77
pra,77
motivaçã,77
mm,77
marid,77
inval,77
excet,77
complementaçã,77
comerci,77
atuaçã,77
adimc,77
xxi,76
sentenci,76
rigor,76
remoç,76
pun,76
posicion,76
lícit,76
liç,76
infiel,76
horizont,76
fiz,76
diminu,76
desobedi,76
cpm,76
atest,76
unid,75
promot,75
legit,75
inov,75
implant,75
etap,75
espírit,75
equip,75
atr,75
óbvi,74
tang,74
surt,74
substitut,74
statu,74
roch,74
resguard,74
protelatóri,74
júr,74
indivis,74
incurs,74
implantaçã,74
hipÓtes,74
gast,74
eficÁc,74
comunique-se.,74
celet,74
bloquei,74
alteraçã,74
rescind,73
republ,73
querel,73
pec,73
patent,73
municÍpi,73
monetÁria.,73
individu,73
extradit,73
estud,73
embas,73
discrep,73
descrit,73
cur,73
consubstanc,73
caracterís,73
auxíli,73
¾,72
vert,72
tesour,72
ter-se-,72
república.,72
quit,72
propriet,72
pront,72
poupanç,72
pouc,72
notar,72
município.,72
muit,72
malh,72
law,72
interlocutór,72
inflacion,72
inf,72
dól,72
compr,72
arquive-se.,72
